[coverage strength]
3
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S12_click_calculatePaymentsButton,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_3,S1_wait_input,S0_type_memberUserName
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,action,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,action,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,action,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,action,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,action,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,action,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,action,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,action,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,action,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,action,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,action,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,action,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,action,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountRight,action,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,action,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,test1
