[coverage strength]
5
""
S7_type_paymentCount,S2_type_amount,S10_submit_submitButton,S18_click_cssInputButton,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3,S1_wait_input
validPaymentCountBetween17and36,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,action
validPaymentCountBetween17and36,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,action
validPaymentCountBetween17and36,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,action
invalidPaymentCountLef,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,action
invalidPaymentCountLef,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,action
invalidPaymentCountRight,invalidAmountRight,action,action,test1,MULTIPLE_FUTURE,action
invalidPaymentCountRight,validAcceptableAmount,action,action,test1,MULTIPLE_FUTURE,action
invalidPaymentCountRight,invalidAmountLeft,action,action,test1,MULTIPLE_FUTURE,action
