[coverage strength]
6
""
S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S1_wait_input,S11_submit_submitButton,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3
validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween17and36,invalidAmountRight,02/02/2012,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentPastDate,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween17and36,validAcceptableAmount,02/02/2012,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentPastDate,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween17and36,invalidAmountLeft,02/02/2012,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentPastDate,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,invalidAmountRight,02/02/2012,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentPastDate,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,validAcceptableAmount,02/02/2012,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentPastDate,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,invalidAmountLeft,02/02/2012,action,action,test1,MULTIPLE_FUTURE
validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentPastDate,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,invalidAmountRight,02/02/2012,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,invalidAmountRight,invalidPaymentPastDate,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,validAcceptableAmount,02/02/2012,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,validAcceptableAmount,invalidPaymentPastDate,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,invalidAmountLeft,02/02/2012,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,invalidAmountLeft,invalidPaymentPastDate,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,invalidAmountRight,02/02/2012,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,invalidAmountRight,invalidPaymentPastDate,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,validAcceptableAmount,02/02/2012,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,validAcceptableAmount,invalidPaymentPastDate,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,invalidAmountLeft,02/02/2012,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,invalidAmountLeft,invalidPaymentPastDate,action,action,test1,MULTIPLE_FUTURE
