[coverage strength]
4
""
S7_type_paymentCount,S2_type_amount,S8c3_submit_submitButton,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3,S1_wait_input,S10_click_calculatePaymentsButton,S14_type_description
validPaymentCountBetween17and36,invalidAmountRight,action,test1,MULTIPLE_FUTURE,action,action,anyString
validPaymentCountBetween17and36,validAcceptableAmount,action,test1,MULTIPLE_FUTURE,action,action,anyString
validPaymentCountBetween17and36,invalidAmountLeft,action,test1,MULTIPLE_FUTURE,action,action,anyString
validPaymentCountBetween1and6,invalidAmountRight,action,test1,MULTIPLE_FUTURE,action,action,anyString
validPaymentCountBetween1and6,validAcceptableAmount,action,test1,MULTIPLE_FUTURE,action,action,anyString
validPaymentCountBetween1and6,invalidAmountLeft,action,test1,MULTIPLE_FUTURE,action,action,anyString
invalidPaymentCountLef,invalidAmountRight,action,test1,MULTIPLE_FUTURE,action,action,anyString
invalidPaymentCountLef,validAcceptableAmount,action,test1,MULTIPLE_FUTURE,action,action,anyString
invalidPaymentCountLef,invalidAmountLeft,action,test1,MULTIPLE_FUTURE,action,action,anyString
invalidPaymentCountRight,invalidAmountRight,action,test1,MULTIPLE_FUTURE,action,action,anyString
invalidPaymentCountRight,validAcceptableAmount,action,test1,MULTIPLE_FUTURE,action,action,anyString
invalidPaymentCountRight,invalidAmountLeft,action,test1,MULTIPLE_FUTURE,action,action,anyString
