[coverage strength]
4
""
S7_type_paymentCount,S2_type_amount,S18_click_cssInputButton,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3,S1_wait_input,S10_submit_submitButton
validPaymentCountBetween17and36,invalidAmountRight,action,test1,MULTIPLE_FUTURE,action,action
validPaymentCountBetween17and36,invalidAmountLeft,action,test1,MULTIPLE_FUTURE,action,action
validPaymentCountBetween1and6,invalidAmountRight,action,test1,MULTIPLE_FUTURE,action,action
validPaymentCountBetween1and6,validAcceptableAmount,action,test1,MULTIPLE_FUTURE,action,action
validPaymentCountBetween1and6,invalidAmountLeft,action,test1,MULTIPLE_FUTURE,action,action
invalidPaymentCountLef,invalidAmountRight,action,test1,MULTIPLE_FUTURE,action,action
invalidPaymentCountLef,validAcceptableAmount,action,test1,MULTIPLE_FUTURE,action,action
invalidPaymentCountLef,invalidAmountLeft,action,test1,MULTIPLE_FUTURE,action,action
invalidPaymentCountRight,invalidAmountRight,action,test1,MULTIPLE_FUTURE,action,action
invalidPaymentCountRight,validAcceptableAmount,action,test1,MULTIPLE_FUTURE,action,action
invalidPaymentCountRight,invalidAmountLeft,action,test1,MULTIPLE_FUTURE,action,action
