[coverage strength]
6
""
S7_type_paymentCount,S2_type_amount,S10_click_calculatePaymentsButton,S14_type_description,S8c3_submit_submitButton,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3,S1_wait_input
validPaymentCountBetween17and36,invalidAmountRight,action,anyString,action,test1,MULTIPLE_FUTURE,action
validPaymentCountBetween17and36,validAcceptableAmount,action,anyString,action,test1,MULTIPLE_FUTURE,action
validPaymentCountBetween17and36,invalidAmountLeft,action,anyString,action,test1,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,invalidAmountRight,action,anyString,action,test1,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,validAcceptableAmount,action,anyString,action,test1,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,invalidAmountLeft,action,anyString,action,test1,MULTIPLE_FUTURE,action
invalidPaymentCountLef,invalidAmountRight,action,anyString,action,test1,MULTIPLE_FUTURE,action
invalidPaymentCountLef,validAcceptableAmount,action,anyString,action,test1,MULTIPLE_FUTURE,action
invalidPaymentCountLef,invalidAmountLeft,action,anyString,action,test1,MULTIPLE_FUTURE,action
invalidPaymentCountRight,invalidAmountRight,action,anyString,action,test1,MULTIPLE_FUTURE,action
invalidPaymentCountRight,validAcceptableAmount,action,anyString,action,test1,MULTIPLE_FUTURE,action
invalidPaymentCountRight,invalidAmountLeft,action,anyString,action,test1,MULTIPLE_FUTURE,action
