[coverage strength]
5
""
S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S11_submit_submitButton,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3,S1_wait_input
validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,action,test1,MULTIPLE_FUTURE,action
validPaymentCountBetween17and36,invalidAmountRight,02/02/2012,action,test1,MULTIPLE_FUTURE,action
validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentPastDate,action,test1,MULTIPLE_FUTURE,action
validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentFutureDate,action,test1,MULTIPLE_FUTURE,action
validPaymentCountBetween17and36,validAcceptableAmount,02/02/2012,action,test1,MULTIPLE_FUTURE,action
validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentPastDate,action,test1,MULTIPLE_FUTURE,action
validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentFutureDate,action,test1,MULTIPLE_FUTURE,action
validPaymentCountBetween17and36,invalidAmountLeft,02/02/2012,action,test1,MULTIPLE_FUTURE,action
validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentPastDate,action,test1,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentPastDate,action,test1,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,action,test1,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,invalidAmountLeft,02/02/2012,action,test1,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentPastDate,action,test1,MULTIPLE_FUTURE,action
invalidPaymentCountLef,invalidAmountRight,invalidPaymentFutureDate,action,test1,MULTIPLE_FUTURE,action
invalidPaymentCountLef,invalidAmountRight,02/02/2012,action,test1,MULTIPLE_FUTURE,action
invalidPaymentCountLef,invalidAmountRight,invalidPaymentPastDate,action,test1,MULTIPLE_FUTURE,action
invalidPaymentCountLef,validAcceptableAmount,invalidPaymentFutureDate,action,test1,MULTIPLE_FUTURE,action
invalidPaymentCountLef,validAcceptableAmount,02/02/2012,action,test1,MULTIPLE_FUTURE,action
invalidPaymentCountLef,validAcceptableAmount,invalidPaymentPastDate,action,test1,MULTIPLE_FUTURE,action
invalidPaymentCountLef,invalidAmountLeft,invalidPaymentFutureDate,action,test1,MULTIPLE_FUTURE,action
invalidPaymentCountLef,invalidAmountLeft,02/02/2012,action,test1,MULTIPLE_FUTURE,action
invalidPaymentCountLef,invalidAmountLeft,invalidPaymentPastDate,action,test1,MULTIPLE_FUTURE,action
invalidPaymentCountRight,invalidAmountRight,invalidPaymentFutureDate,action,test1,MULTIPLE_FUTURE,action
invalidPaymentCountRight,invalidAmountRight,02/02/2012,action,test1,MULTIPLE_FUTURE,action
invalidPaymentCountRight,invalidAmountRight,invalidPaymentPastDate,action,test1,MULTIPLE_FUTURE,action
invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,action,test1,MULTIPLE_FUTURE,action
invalidPaymentCountRight,validAcceptableAmount,02/02/2012,action,test1,MULTIPLE_FUTURE,action
invalidPaymentCountRight,validAcceptableAmount,invalidPaymentPastDate,action,test1,MULTIPLE_FUTURE,action
invalidPaymentCountRight,invalidAmountLeft,invalidPaymentFutureDate,action,test1,MULTIPLE_FUTURE,action
invalidPaymentCountRight,invalidAmountLeft,02/02/2012,action,test1,MULTIPLE_FUTURE,action
invalidPaymentCountRight,invalidAmountLeft,invalidPaymentPastDate,action,test1,MULTIPLE_FUTURE,action
