[coverage strength]
3
""
S7_type_paymentCount,S10_type_firstPaymentDate,S11_click_calculatePaymentsButton,S2_type_amount,S3_select_schedulingTypeSelect_index_3,S1_wait_input,S0_type_memberUserName
validPaymentCountBetween17and36,invalidPaymentFutureDate,action,validAcceptableAmount,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,02/02/2012,action,invalidAmountLeft,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,invalidPaymentPastDate,action,invalidAmountRight,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,invalidPaymentFutureDate,action,invalidAmountLeft,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,02/02/2012,action,invalidAmountRight,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,invalidPaymentPastDate,action,validAcceptableAmount,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,invalidPaymentFutureDate,action,invalidAmountRight,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,02/02/2012,action,invalidAmountLeft,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,invalidPaymentPastDate,action,invalidAmountLeft,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,invalidPaymentFutureDate,action,invalidAmountRight,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,02/02/2012,action,validAcceptableAmount,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,invalidPaymentPastDate,action,invalidAmountLeft,MULTIPLE_FUTURE,action,test1
