[coverage strength]
3
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S13_submit_submitButton,S12_select_recurrenceFieldSelect,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,action,DAYS,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,action,WEEKS,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,action,MONTHS,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,action,DAYS,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,action,WEEKS,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,action,MONTHS,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,action,DAYS,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,action,WEEKS,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,action,MONTHS,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,action,DAYS,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,action,WEEKS,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,action,MONTHS,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,test1
