[coverage strength]
4
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S3_select_schedulingTypeSelect_index_3,S12_submit_submitButton,S2_type_amount,S10_type_firstPaymentDate,S1_wait_input,S0_type_memberUserName
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,MULTIPLE_FUTURE,action,invalidAmountRight,02/02/2012,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,MULTIPLE_FUTURE,action,validAcceptableAmount,invalidPaymentPastDate,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,MULTIPLE_FUTURE,action,invalidAmountLeft,invalidPaymentFutureDate,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,MULTIPLE_FUTURE,action,invalidAmountRight,invalidPaymentPastDate,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,MULTIPLE_FUTURE,action,validAcceptableAmount,invalidPaymentFutureDate,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,MULTIPLE_FUTURE,action,invalidAmountLeft,02/02/2012,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,MULTIPLE_FUTURE,action,invalidAmountRight,invalidPaymentPastDate,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,MULTIPLE_FUTURE,action,validAcceptableAmount,02/02/2012,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,MULTIPLE_FUTURE,action,invalidAmountLeft,invalidPaymentPastDate,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,MULTIPLE_FUTURE,action,invalidAmountRight,invalidPaymentFutureDate,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,MULTIPLE_FUTURE,action,validAcceptableAmount,02/02/2012,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,MULTIPLE_FUTURE,action,invalidAmountLeft,invalidPaymentFutureDate,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,MULTIPLE_FUTURE,action,invalidAmountRight,invalidPaymentPastDate,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,MULTIPLE_FUTURE,action,validAcceptableAmount,02/02/2012,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,MULTIPLE_FUTURE,action,invalidAmountLeft,invalidPaymentFutureDate,action,test1
invalidRecurrenceNumberRight,invalidPaymentCountRight,MULTIPLE_FUTURE,action,invalidAmountRight,invalidPaymentFutureDate,action,test1
