[coverage strength]
5
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S12_click_calculatePaymentsButton,S3_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton,S14_type_description,S8c3_submit_submitButton,S0_type_memberUserName
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,action,anyString,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidAmountRight,02/02/2012,action,MULTIPLE_FUTURE,action,action,anyString,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,action,anyString,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,action,anyString,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,validAcceptableAmount,02/02/2012,action,MULTIPLE_FUTURE,action,action,anyString,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,action,anyString,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,action,anyString,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidAmountLeft,02/02/2012,action,MULTIPLE_FUTURE,action,action,anyString,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,action,anyString,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,action,anyString,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidAmountRight,02/02/2012,action,MULTIPLE_FUTURE,action,action,anyString,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,action,anyString,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentFutureDate,action,MULTIPLE_FUTURE,action,action,anyString,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,validAcceptableAmount,02/02/2012,action,MULTIPLE_FUTURE,action,action,anyString,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentPastDate,action,MULTIPLE_FUTURE,action,action,anyString,action,test1
