[coverage strength]
6
""
S7_type_paymentCount,S2_type_amount,S5_select_schedulingTypeSelect_index_3,S14_submit_submitButton,S3_select_schedulingTypeSelect_index_2,S0_type_memberUserName,S6_select_schedulingTypeSelect_index_1,S1_wait_input,S10_click_calculatePaymentsButton,S18_click_cssInputButton
validPaymentCountBetween17and36,invalidAmountRight,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1,IMMEDIATELY,action,action,action
validPaymentCountBetween17and36,validAcceptableAmount,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1,IMMEDIATELY,action,action,action
validPaymentCountBetween17and36,invalidAmountLeft,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1,IMMEDIATELY,action,action,action
validPaymentCountBetween1and6,invalidAmountRight,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1,IMMEDIATELY,action,action,action
validPaymentCountBetween1and6,validAcceptableAmount,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1,IMMEDIATELY,action,action,action
validPaymentCountBetween1and6,invalidAmountLeft,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1,IMMEDIATELY,action,action,action
invalidPaymentCountLef,invalidAmountRight,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1,IMMEDIATELY,action,action,action
invalidPaymentCountLef,validAcceptableAmount,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1,IMMEDIATELY,action,action,action
invalidPaymentCountLef,invalidAmountLeft,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1,IMMEDIATELY,action,action,action
invalidPaymentCountRight,invalidAmountRight,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1,IMMEDIATELY,action,action,action
invalidPaymentCountRight,validAcceptableAmount,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1,IMMEDIATELY,action,action,action
invalidPaymentCountRight,invalidAmountLeft,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1,IMMEDIATELY,action,action,action
