[coverage strength]
3
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S3_select_schedulingTypeSelect_index_1,S2_type_amount,S10_type_firstPaymentDate,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S0_type_memberUserName,S12_submit_submitButton
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,IMMEDIATELY,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,IMMEDIATELY,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,IMMEDIATELY,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,IMMEDIATELY,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,IMMEDIATELY,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,IMMEDIATELY,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,IMMEDIATELY,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,IMMEDIATELY,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,IMMEDIATELY,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,IMMEDIATELY,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,IMMEDIATELY,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,IMMEDIATELY,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,IMMEDIATELY,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,IMMEDIATELY,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,IMMEDIATELY,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,IMMEDIATELY,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,test1,action
