[coverage strength]
4
""
S7_type_paymentCount,S5_select_schedulingTypeSelect_index_2,S18_click_cssInputButton,S11_submit_submitButton,S2_type_amount,S10_type_firstPaymentDate,S6_select_schedulingTypeSelect_index_3,S3_select_schedulingTypeSelect_index_1,S1_wait_input,S0_type_memberUserName
validPaymentCountBetween17and36,SINGLE_FUTURE,action,action,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,IMMEDIATELY,action,test1
validPaymentCountBetween1and6,SINGLE_FUTURE,action,action,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,action,test1
invalidPaymentCountLef,SINGLE_FUTURE,action,action,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,IMMEDIATELY,action,test1
invalidPaymentCountRight,SINGLE_FUTURE,action,action,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,action,test1
validPaymentCountBetween17and36,SINGLE_FUTURE,action,action,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,IMMEDIATELY,action,test1
validPaymentCountBetween17and36,SINGLE_FUTURE,action,action,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,action,test1
validPaymentCountBetween1and6,SINGLE_FUTURE,action,action,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,action,test1
validPaymentCountBetween1and6,SINGLE_FUTURE,action,action,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,IMMEDIATELY,action,test1
validPaymentCountBetween1and6,SINGLE_FUTURE,action,action,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,IMMEDIATELY,action,test1
invalidPaymentCountLef,SINGLE_FUTURE,action,action,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,IMMEDIATELY,action,test1
invalidPaymentCountLef,SINGLE_FUTURE,action,action,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,action,test1
invalidPaymentCountLef,SINGLE_FUTURE,action,action,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,IMMEDIATELY,action,test1
invalidPaymentCountRight,SINGLE_FUTURE,action,action,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,IMMEDIATELY,action,test1
invalidPaymentCountRight,SINGLE_FUTURE,action,action,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,IMMEDIATELY,action,test1
