[coverage strength]
5
""
S7_type_paymentCount,S2_type_amount,S6_select_schedulingTypeSelect_index_1,S7_select_schedulingTypeSelect_index_2,S10_click_calculatePaymentsButton,S6_select_schedulingTypeSelect_index_3,S5_select_schedulingTypeSelect_index_3,S3_select_schedulingTypeSelect_index_3,S1_wait_input,S14_type_description,S0_type_memberUserName
validPaymentCountBetween17and36,invalidAmountRight,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,anyString,test1
validPaymentCountBetween17and36,validAcceptableAmount,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,anyString,test1
validPaymentCountBetween17and36,invalidAmountLeft,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,anyString,test1
validPaymentCountBetween1and6,invalidAmountRight,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,anyString,test1
validPaymentCountBetween1and6,validAcceptableAmount,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,anyString,test1
validPaymentCountBetween1and6,invalidAmountLeft,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,anyString,test1
invalidPaymentCountLef,invalidAmountRight,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,anyString,test1
invalidPaymentCountLef,validAcceptableAmount,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,anyString,test1
invalidPaymentCountLef,invalidAmountLeft,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,anyString,test1
invalidPaymentCountRight,invalidAmountRight,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,anyString,test1
invalidPaymentCountRight,validAcceptableAmount,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,anyString,test1
invalidPaymentCountRight,invalidAmountLeft,IMMEDIATELY,SINGLE_FUTURE,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,anyString,test1
