[coverage strength]
5
""
S7_type_paymentCount,S2_type_amount,S7_select_schedulingTypeSelect_index_2,S14_submit_submitButton,S0_type_memberUserName,S6_select_schedulingTypeSelect_index_3,S3_select_schedulingTypeSelect_index_3,S1_wait_input,S10_click_calculatePaymentsButton,S18_click_cssInputButton
validPaymentCountBetween17and36,invalidAmountRight,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,action
validPaymentCountBetween17and36,validAcceptableAmount,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,action
validPaymentCountBetween17and36,invalidAmountLeft,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,action
validPaymentCountBetween1and6,invalidAmountRight,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,action
validPaymentCountBetween1and6,validAcceptableAmount,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,action
validPaymentCountBetween1and6,invalidAmountLeft,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,action
invalidPaymentCountLef,invalidAmountRight,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,action
invalidPaymentCountLef,validAcceptableAmount,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,action
invalidPaymentCountLef,invalidAmountLeft,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,action
invalidPaymentCountRight,invalidAmountRight,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,action
invalidPaymentCountRight,validAcceptableAmount,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,action
invalidPaymentCountRight,invalidAmountLeft,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,action
