[coverage strength]
6
""
S7_type_paymentCount,S2_type_amount,S5_select_schedulingTypeSelect_index_3,S7_select_schedulingTypeSelect_index_2,S10_click_calculatePaymentsButton,S14_type_description,S6_select_schedulingTypeSelect_index_3,S6_select_schedulingTypeSelect_index_1,S3_select_schedulingTypeSelect_index_3,S1_wait_input,S0_type_memberUserName
validPaymentCountBetween17and36,invalidAmountRight,MULTIPLE_FUTURE,SINGLE_FUTURE,action,anyString,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,validAcceptableAmount,MULTIPLE_FUTURE,SINGLE_FUTURE,action,anyString,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,invalidAmountLeft,MULTIPLE_FUTURE,SINGLE_FUTURE,action,anyString,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,invalidAmountRight,MULTIPLE_FUTURE,SINGLE_FUTURE,action,anyString,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,validAcceptableAmount,MULTIPLE_FUTURE,SINGLE_FUTURE,action,anyString,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,invalidAmountLeft,MULTIPLE_FUTURE,SINGLE_FUTURE,action,anyString,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,invalidAmountRight,MULTIPLE_FUTURE,SINGLE_FUTURE,action,anyString,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,validAcceptableAmount,MULTIPLE_FUTURE,SINGLE_FUTURE,action,anyString,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,invalidAmountLeft,MULTIPLE_FUTURE,SINGLE_FUTURE,action,anyString,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,invalidAmountRight,MULTIPLE_FUTURE,SINGLE_FUTURE,action,anyString,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,validAcceptableAmount,MULTIPLE_FUTURE,SINGLE_FUTURE,action,anyString,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,invalidAmountLeft,MULTIPLE_FUTURE,SINGLE_FUTURE,action,anyString,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
