[coverage strength]
6
""
S7_type_paymentCount,S2_type_amount,S18_click_cssInputButton,S3_select_schedulingTypeSelect_index_2,S10_submit_submitButton,S0_type_memberUserName,S6_select_schedulingTypeSelect_index_3,S6_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_3,S7_select_schedulingTypeSelect_index_2,S1_wait_input
validPaymentCountBetween17and36,invalidAmountRight,action,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action
validPaymentCountBetween17and36,validAcceptableAmount,action,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action
validPaymentCountBetween17and36,invalidAmountLeft,action,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action
validPaymentCountBetween1and6,invalidAmountRight,action,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action
validPaymentCountBetween1and6,validAcceptableAmount,action,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action
validPaymentCountBetween1and6,invalidAmountLeft,action,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action
invalidPaymentCountLef,invalidAmountRight,action,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action
invalidPaymentCountLef,validAcceptableAmount,action,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action
invalidPaymentCountLef,invalidAmountLeft,action,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action
invalidPaymentCountRight,invalidAmountRight,action,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action
invalidPaymentCountRight,validAcceptableAmount,action,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action
invalidPaymentCountRight,invalidAmountLeft,action,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action
