[coverage strength]
6
""
S7_type_paymentCount,S2_type_amount,S7_select_schedulingTypeSelect_index_1,S6_select_schedulingTypeSelect_index_1,S10_click_calculatePaymentsButton,S0_type_memberUserName,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S3_select_schedulingTypeSelect_index_2
validPaymentCountBetween17and36,invalidAmountRight,IMMEDIATELY,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,action,SINGLE_FUTURE
validPaymentCountBetween17and36,validAcceptableAmount,IMMEDIATELY,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,action,SINGLE_FUTURE
validPaymentCountBetween17and36,invalidAmountLeft,IMMEDIATELY,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,action,SINGLE_FUTURE
validPaymentCountBetween1and6,invalidAmountRight,IMMEDIATELY,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,action,SINGLE_FUTURE
validPaymentCountBetween1and6,validAcceptableAmount,IMMEDIATELY,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,action,SINGLE_FUTURE
validPaymentCountBetween1and6,invalidAmountLeft,IMMEDIATELY,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,action,SINGLE_FUTURE
invalidPaymentCountLef,invalidAmountRight,IMMEDIATELY,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,action,SINGLE_FUTURE
invalidPaymentCountLef,validAcceptableAmount,IMMEDIATELY,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,action,SINGLE_FUTURE
invalidPaymentCountLef,invalidAmountLeft,IMMEDIATELY,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,action,SINGLE_FUTURE
invalidPaymentCountRight,invalidAmountRight,IMMEDIATELY,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,action,SINGLE_FUTURE
invalidPaymentCountRight,validAcceptableAmount,IMMEDIATELY,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,action,SINGLE_FUTURE
invalidPaymentCountRight,invalidAmountLeft,IMMEDIATELY,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,action,SINGLE_FUTURE
