[coverage strength]
2
""
S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S6_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton,S3_select_schedulingTypeSelect_index_2,S11_click_calculatePaymentsButton,S14_type_description,S8c3_submit_submitButton,S0_type_memberUserName
validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,anyString,action,test1
validPaymentCountBetween17and36,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,anyString,action,test1
validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,anyString,action,test1
validPaymentCountBetween1and6,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,anyString,action,test1
validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,anyString,action,test1
validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,anyString,action,test1
invalidPaymentCountLef,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,anyString,action,test1
invalidPaymentCountLef,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,anyString,action,test1
invalidPaymentCountLef,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,anyString,action,test1
invalidPaymentCountRight,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,anyString,action,test1
invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,anyString,action,test1
invalidPaymentCountRight,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,action,SINGLE_FUTURE,action,anyString,action,test1
