[coverage strength]
4
""
S7_type_paymentCount,S10_type_firstPaymentDate,S5_select_schedulingTypeSelect_index_3,S14_submit_submitButton,S2_type_amount,S3_select_schedulingTypeSelect_index_1,S1_wait_input,S11_click_calculatePaymentsButton,S0_type_memberUserName
validPaymentCountBetween17and36,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,invalidAmountRight,IMMEDIATELY,action,action,test1
validPaymentCountBetween17and36,02/02/2012,MULTIPLE_FUTURE,action,validAcceptableAmount,IMMEDIATELY,action,action,test1
validPaymentCountBetween17and36,invalidPaymentPastDate,MULTIPLE_FUTURE,action,invalidAmountLeft,IMMEDIATELY,action,action,test1
validPaymentCountBetween1and6,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,validAcceptableAmount,IMMEDIATELY,action,action,test1
validPaymentCountBetween1and6,02/02/2012,MULTIPLE_FUTURE,action,invalidAmountLeft,IMMEDIATELY,action,action,test1
validPaymentCountBetween1and6,invalidPaymentPastDate,MULTIPLE_FUTURE,action,invalidAmountRight,IMMEDIATELY,action,action,test1
invalidPaymentCountLef,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,invalidAmountLeft,IMMEDIATELY,action,action,test1
invalidPaymentCountLef,02/02/2012,MULTIPLE_FUTURE,action,invalidAmountRight,IMMEDIATELY,action,action,test1
invalidPaymentCountLef,invalidPaymentPastDate,MULTIPLE_FUTURE,action,validAcceptableAmount,IMMEDIATELY,action,action,test1
invalidPaymentCountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,invalidAmountLeft,IMMEDIATELY,action,action,test1
invalidPaymentCountRight,02/02/2012,MULTIPLE_FUTURE,action,invalidAmountRight,IMMEDIATELY,action,action,test1
invalidPaymentCountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,validAcceptableAmount,IMMEDIATELY,action,action,test1
