[coverage strength]
5
""
S7_type_paymentCount,S2_type_amount,S7_select_schedulingTypeSelect_index_1,S18_click_cssInputButton,S10_submit_submitButton,S5_select_schedulingTypeSelect_index_3,S3_select_schedulingTypeSelect_index_3,S1_wait_input,S0_type_memberUserName
validPaymentCountBetween17and36,invalidAmountRight,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,validAcceptableAmount,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,invalidAmountLeft,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,invalidAmountRight,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,validAcceptableAmount,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,invalidAmountLeft,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,invalidAmountRight,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,validAcceptableAmount,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,invalidAmountLeft,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,invalidAmountRight,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,validAcceptableAmount,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,invalidAmountLeft,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,test1
