[coverage strength]
6
""
S7_type_paymentCount,S2_type_amount,S5_select_schedulingTypeSelect_index_2,S18_click_cssInputButton,S3_select_schedulingTypeSelect_index_2,S0_type_memberUserName,S6_select_schedulingTypeSelect_index_3,S6_select_schedulingTypeSelect_index_1,S1_wait_input,S10_click_calculatePaymentsButton,S14_submit_submitButton
validPaymentCountBetween17and36,invalidAmountRight,SINGLE_FUTURE,action,SINGLE_FUTURE,test1,MULTIPLE_FUTURE,IMMEDIATELY,action,action,action
validPaymentCountBetween17and36,validAcceptableAmount,SINGLE_FUTURE,action,SINGLE_FUTURE,test1,MULTIPLE_FUTURE,IMMEDIATELY,action,action,action
validPaymentCountBetween17and36,invalidAmountLeft,SINGLE_FUTURE,action,SINGLE_FUTURE,test1,MULTIPLE_FUTURE,IMMEDIATELY,action,action,action
validPaymentCountBetween1and6,invalidAmountRight,SINGLE_FUTURE,action,SINGLE_FUTURE,test1,MULTIPLE_FUTURE,IMMEDIATELY,action,action,action
validPaymentCountBetween1and6,validAcceptableAmount,SINGLE_FUTURE,action,SINGLE_FUTURE,test1,MULTIPLE_FUTURE,IMMEDIATELY,action,action,action
validPaymentCountBetween1and6,invalidAmountLeft,SINGLE_FUTURE,action,SINGLE_FUTURE,test1,MULTIPLE_FUTURE,IMMEDIATELY,action,action,action
invalidPaymentCountLef,invalidAmountRight,SINGLE_FUTURE,action,SINGLE_FUTURE,test1,MULTIPLE_FUTURE,IMMEDIATELY,action,action,action
invalidPaymentCountLef,validAcceptableAmount,SINGLE_FUTURE,action,SINGLE_FUTURE,test1,MULTIPLE_FUTURE,IMMEDIATELY,action,action,action
invalidPaymentCountLef,invalidAmountLeft,SINGLE_FUTURE,action,SINGLE_FUTURE,test1,MULTIPLE_FUTURE,IMMEDIATELY,action,action,action
invalidPaymentCountRight,invalidAmountRight,SINGLE_FUTURE,action,SINGLE_FUTURE,test1,MULTIPLE_FUTURE,IMMEDIATELY,action,action,action
invalidPaymentCountRight,validAcceptableAmount,SINGLE_FUTURE,action,SINGLE_FUTURE,test1,MULTIPLE_FUTURE,IMMEDIATELY,action,action,action
invalidPaymentCountRight,invalidAmountLeft,SINGLE_FUTURE,action,SINGLE_FUTURE,test1,MULTIPLE_FUTURE,IMMEDIATELY,action,action,action
