[coverage strength]
6
""
S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S7_select_schedulingTypeSelect_index_1,S11_click_calculatePaymentsButton,S0_type_memberUserName,S5_select_schedulingTypeSelect_index_3,S3_select_schedulingTypeSelect_index_3,S1_wait_input
validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action
validPaymentCountBetween17and36,invalidAmountRight,02/02/2012,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action
validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentPastDate,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action
validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentFutureDate,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action
validPaymentCountBetween17and36,validAcceptableAmount,02/02/2012,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action
validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentPastDate,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action
validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentFutureDate,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action
validPaymentCountBetween17and36,invalidAmountLeft,02/02/2012,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action
validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentFutureDate,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,invalidAmountRight,02/02/2012,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentPastDate,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentFutureDate,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,validAcceptableAmount,02/02/2012,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentPastDate,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,invalidAmountLeft,02/02/2012,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action
invalidPaymentCountLef,invalidAmountRight,invalidPaymentFutureDate,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action
invalidPaymentCountLef,invalidAmountRight,02/02/2012,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action
invalidPaymentCountLef,invalidAmountRight,invalidPaymentPastDate,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action
invalidPaymentCountLef,validAcceptableAmount,invalidPaymentFutureDate,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action
invalidPaymentCountLef,validAcceptableAmount,02/02/2012,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action
invalidPaymentCountLef,validAcceptableAmount,invalidPaymentPastDate,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action
invalidPaymentCountLef,invalidAmountLeft,invalidPaymentFutureDate,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action
invalidPaymentCountLef,invalidAmountLeft,02/02/2012,IMMEDIATELY,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action
