[coverage strength]
2
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton,S14_type_description,S8c3_submit_submitButton,S0_type_memberUserName,S12_click_calculatePaymentsButton
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,anyString,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,action,anyString,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,anyString,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,action,anyString,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,anyString,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,anyString,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,action,anyString,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,anyString,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,action,anyString,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,anyString,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,anyString,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,anyString,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,anyString,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,action,anyString,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,anyString,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,anyString,action,test1,action
