[coverage strength]
3
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S6_select_schedulingTypeSelect_index_1,S2_type_amount,S10_type_firstPaymentDate,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S3_select_schedulingTypeSelect_index_2,S0_type_memberUserName
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,IMMEDIATELY,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,IMMEDIATELY,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,IMMEDIATELY,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,IMMEDIATELY,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,IMMEDIATELY,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,IMMEDIATELY,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,IMMEDIATELY,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,IMMEDIATELY,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,IMMEDIATELY,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,IMMEDIATELY,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,IMMEDIATELY,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,IMMEDIATELY,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,IMMEDIATELY,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,IMMEDIATELY,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
invalidRecurrenceNumberRight,invalidPaymentCountLef,IMMEDIATELY,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
invalidRecurrenceNumberRight,invalidPaymentCountRight,IMMEDIATELY,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,SINGLE_FUTURE,test1
