[coverage strength]
4
""
S7_type_paymentCount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_2,S11_submit_submitButton,S2_type_amount,S6_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName
validPaymentCountBetween17and36,invalidPaymentFutureDate,SINGLE_FUTURE,action,validAcceptableAmount,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween17and36,02/02/2012,SINGLE_FUTURE,action,invalidAmountLeft,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween17and36,invalidPaymentPastDate,SINGLE_FUTURE,action,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,invalidPaymentFutureDate,SINGLE_FUTURE,action,invalidAmountLeft,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,02/02/2012,SINGLE_FUTURE,action,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,invalidPaymentPastDate,SINGLE_FUTURE,action,validAcceptableAmount,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountLef,invalidPaymentFutureDate,SINGLE_FUTURE,action,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountLef,02/02/2012,SINGLE_FUTURE,action,validAcceptableAmount,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountLef,invalidPaymentPastDate,SINGLE_FUTURE,action,invalidAmountLeft,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,invalidPaymentFutureDate,SINGLE_FUTURE,action,invalidAmountRight,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,02/02/2012,SINGLE_FUTURE,action,validAcceptableAmount,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,invalidPaymentPastDate,SINGLE_FUTURE,action,invalidAmountLeft,MULTIPLE_FUTURE,action,action,test1
