[coverage strength]
4
""
S7_type_paymentCount,S10_type_firstPaymentDate,S14_submit_submitButton,S3_select_schedulingTypeSelect_index_2,S2_type_amount,S6_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton,S11_click_calculatePaymentsButton,S0_type_memberUserName
validPaymentCountBetween17and36,invalidPaymentFutureDate,action,SINGLE_FUTURE,validAcceptableAmount,MULTIPLE_FUTURE,action,action,action,test1
validPaymentCountBetween17and36,02/02/2012,action,SINGLE_FUTURE,invalidAmountLeft,MULTIPLE_FUTURE,action,action,action,test1
validPaymentCountBetween17and36,invalidPaymentPastDate,action,SINGLE_FUTURE,invalidAmountRight,MULTIPLE_FUTURE,action,action,action,test1
validPaymentCountBetween1and6,invalidPaymentFutureDate,action,SINGLE_FUTURE,invalidAmountLeft,MULTIPLE_FUTURE,action,action,action,test1
validPaymentCountBetween1and6,02/02/2012,action,SINGLE_FUTURE,invalidAmountRight,MULTIPLE_FUTURE,action,action,action,test1
validPaymentCountBetween1and6,invalidPaymentPastDate,action,SINGLE_FUTURE,validAcceptableAmount,MULTIPLE_FUTURE,action,action,action,test1
invalidPaymentCountLef,invalidPaymentFutureDate,action,SINGLE_FUTURE,invalidAmountRight,MULTIPLE_FUTURE,action,action,action,test1
invalidPaymentCountLef,02/02/2012,action,SINGLE_FUTURE,validAcceptableAmount,MULTIPLE_FUTURE,action,action,action,test1
invalidPaymentCountLef,invalidPaymentPastDate,action,SINGLE_FUTURE,invalidAmountLeft,MULTIPLE_FUTURE,action,action,action,test1
invalidPaymentCountRight,invalidPaymentFutureDate,action,SINGLE_FUTURE,invalidAmountRight,MULTIPLE_FUTURE,action,action,action,test1
invalidPaymentCountRight,02/02/2012,action,SINGLE_FUTURE,validAcceptableAmount,MULTIPLE_FUTURE,action,action,action,test1
invalidPaymentCountRight,invalidPaymentPastDate,action,SINGLE_FUTURE,invalidAmountLeft,MULTIPLE_FUTURE,action,action,action,test1
