[coverage strength]
4
""
S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S6_select_schedulingTypeSelect_index_3,S5_select_schedulingTypeSelect_index_2,S3_select_schedulingTypeSelect_index_1,S1_wait_input,S18_click_cssInputButton,S11_submit_submitButton,S0_type_memberUserName
validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,action,action,action,test1
validPaymentCountBetween17and36,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,action,action,action,test1
validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,action,action,action,test1
validPaymentCountBetween17and36,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,action,action,action,test1
validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,action,action,action,test1
validPaymentCountBetween1and6,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,action,action,action,test1
validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,action,action,action,test1
validPaymentCountBetween1and6,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,action,action,action,test1
invalidPaymentCountLef,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,action,action,action,test1
invalidPaymentCountLef,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,action,action,action,test1
invalidPaymentCountLef,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,action,action,action,test1
invalidPaymentCountLef,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,action,action,action,test1
invalidPaymentCountRight,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,action,action,action,test1
invalidPaymentCountRight,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,action,action,action,test1
invalidPaymentCountRight,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,SINGLE_FUTURE,IMMEDIATELY,action,action,action,test1
