[coverage strength]
2
""
S7_type_paymentCount,S2_type_amount,S3_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S10_click_calculatePaymentsButton,S18_click_cssInputButton,S14_type_description,S8c3_submit_submitButton,S0_type_memberUserName
validPaymentCountBetween17and36,invalidAmountRight,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,anyString,action,test1
validPaymentCountBetween17and36,validAcceptableAmount,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,anyString,action,test1
validPaymentCountBetween17and36,invalidAmountLeft,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,anyString,action,test1
validPaymentCountBetween1and6,invalidAmountRight,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,anyString,action,test1
validPaymentCountBetween1and6,validAcceptableAmount,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,anyString,action,test1
validPaymentCountBetween1and6,invalidAmountLeft,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,anyString,action,test1
invalidPaymentCountLef,invalidAmountRight,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,anyString,action,test1
invalidPaymentCountLef,validAcceptableAmount,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,anyString,action,test1
invalidPaymentCountLef,invalidAmountLeft,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,anyString,action,test1
invalidPaymentCountRight,invalidAmountRight,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,anyString,action,test1
invalidPaymentCountRight,validAcceptableAmount,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,anyString,action,test1
invalidPaymentCountRight,invalidAmountLeft,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,anyString,action,test1
