[coverage strength]
4
""
S7_type_paymentCount,S10_type_firstPaymentDate,S7_select_schedulingTypeSelect_index_1,S11_click_calculatePaymentsButton,S2_type_amount,S5_select_schedulingTypeSelect_index_3,S3_select_schedulingTypeSelect_index_3,S1_wait_input,S0_type_memberUserName
validPaymentCountBetween17and36,invalidPaymentFutureDate,IMMEDIATELY,action,invalidAmountRight,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,02/02/2012,IMMEDIATELY,action,validAcceptableAmount,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,invalidPaymentPastDate,IMMEDIATELY,action,invalidAmountLeft,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,invalidPaymentFutureDate,IMMEDIATELY,action,validAcceptableAmount,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,02/02/2012,IMMEDIATELY,action,invalidAmountLeft,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,invalidPaymentPastDate,IMMEDIATELY,action,invalidAmountRight,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,invalidPaymentFutureDate,IMMEDIATELY,action,invalidAmountLeft,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,02/02/2012,IMMEDIATELY,action,invalidAmountRight,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,invalidPaymentPastDate,IMMEDIATELY,action,validAcceptableAmount,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,invalidPaymentFutureDate,IMMEDIATELY,action,invalidAmountLeft,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,02/02/2012,IMMEDIATELY,action,invalidAmountRight,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,invalidPaymentPastDate,IMMEDIATELY,action,validAcceptableAmount,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,invalidPaymentPastDate,IMMEDIATELY,action,invalidAmountRight,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,invalidPaymentFutureDate,IMMEDIATELY,action,validAcceptableAmount,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,02/02/2012,IMMEDIATELY,action,invalidAmountLeft,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,02/02/2012,IMMEDIATELY,action,invalidAmountRight,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,invalidPaymentPastDate,IMMEDIATELY,action,validAcceptableAmount,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,invalidPaymentFutureDate,IMMEDIATELY,action,invalidAmountLeft,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,invalidPaymentFutureDate,IMMEDIATELY,action,invalidAmountRight,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,02/02/2012,IMMEDIATELY,action,validAcceptableAmount,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,invalidPaymentPastDate,IMMEDIATELY,action,invalidAmountLeft,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,invalidPaymentFutureDate,IMMEDIATELY,action,invalidAmountRight,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,02/02/2012,IMMEDIATELY,action,validAcceptableAmount,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,invalidPaymentPastDate,IMMEDIATELY,action,invalidAmountLeft,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,test1
