[coverage strength]
4
""
S7_type_paymentCount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_1,S7_select_schedulingTypeSelect_index_2,S2_type_amount,S6_select_schedulingTypeSelect_index_3,S7_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_2,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S11_submit_submitButton,S0_type_memberUserName
validPaymentCountBetween17and36,invalidPaymentFutureDate,IMMEDIATELY,SINGLE_FUTURE,invalidAmountLeft,MULTIPLE_FUTURE,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween17and36,02/02/2012,IMMEDIATELY,SINGLE_FUTURE,invalidAmountRight,MULTIPLE_FUTURE,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween17and36,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,validAcceptableAmount,MULTIPLE_FUTURE,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,invalidPaymentFutureDate,IMMEDIATELY,SINGLE_FUTURE,invalidAmountRight,MULTIPLE_FUTURE,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,02/02/2012,IMMEDIATELY,SINGLE_FUTURE,validAcceptableAmount,MULTIPLE_FUTURE,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,invalidAmountLeft,MULTIPLE_FUTURE,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountLef,invalidPaymentFutureDate,IMMEDIATELY,SINGLE_FUTURE,validAcceptableAmount,MULTIPLE_FUTURE,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountLef,02/02/2012,IMMEDIATELY,SINGLE_FUTURE,invalidAmountLeft,MULTIPLE_FUTURE,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountLef,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,invalidAmountRight,MULTIPLE_FUTURE,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,invalidPaymentFutureDate,IMMEDIATELY,SINGLE_FUTURE,validAcceptableAmount,MULTIPLE_FUTURE,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,02/02/2012,IMMEDIATELY,SINGLE_FUTURE,invalidAmountLeft,MULTIPLE_FUTURE,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,invalidAmountRight,MULTIPLE_FUTURE,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
