[coverage strength]
6
""
S7_type_paymentCount,S2_type_amount,S5_select_schedulingTypeSelect_index_3,S3_select_schedulingTypeSelect_index_2,S8c3_submit_submitButton,S0_type_memberUserName,S6_select_schedulingTypeSelect_index_1,S1_wait_input,S10_click_calculatePaymentsButton,S18_click_cssInputButton,S14_type_description
validPaymentCountBetween17and36,invalidAmountRight,MULTIPLE_FUTURE,SINGLE_FUTURE,action,test1,IMMEDIATELY,action,action,action,anyString
validPaymentCountBetween17and36,validAcceptableAmount,MULTIPLE_FUTURE,SINGLE_FUTURE,action,test1,IMMEDIATELY,action,action,action,anyString
validPaymentCountBetween17and36,invalidAmountLeft,MULTIPLE_FUTURE,SINGLE_FUTURE,action,test1,IMMEDIATELY,action,action,action,anyString
validPaymentCountBetween1and6,invalidAmountRight,MULTIPLE_FUTURE,SINGLE_FUTURE,action,test1,IMMEDIATELY,action,action,action,anyString
validPaymentCountBetween1and6,validAcceptableAmount,MULTIPLE_FUTURE,SINGLE_FUTURE,action,test1,IMMEDIATELY,action,action,action,anyString
validPaymentCountBetween1and6,invalidAmountLeft,MULTIPLE_FUTURE,SINGLE_FUTURE,action,test1,IMMEDIATELY,action,action,action,anyString
invalidPaymentCountLef,invalidAmountRight,MULTIPLE_FUTURE,SINGLE_FUTURE,action,test1,IMMEDIATELY,action,action,action,anyString
invalidPaymentCountLef,validAcceptableAmount,MULTIPLE_FUTURE,SINGLE_FUTURE,action,test1,IMMEDIATELY,action,action,action,anyString
invalidPaymentCountLef,invalidAmountLeft,MULTIPLE_FUTURE,SINGLE_FUTURE,action,test1,IMMEDIATELY,action,action,action,anyString
invalidPaymentCountRight,invalidAmountRight,MULTIPLE_FUTURE,SINGLE_FUTURE,action,test1,IMMEDIATELY,action,action,action,anyString
invalidPaymentCountRight,validAcceptableAmount,MULTIPLE_FUTURE,SINGLE_FUTURE,action,test1,IMMEDIATELY,action,action,action,anyString
invalidPaymentCountRight,invalidAmountLeft,MULTIPLE_FUTURE,SINGLE_FUTURE,action,test1,IMMEDIATELY,action,action,action,anyString
