[coverage strength]
6
""
S7_type_paymentCount,S2_type_amount,S6_select_schedulingTypeSelect_index_1,S3_select_schedulingTypeSelect_index_1,S10_click_calculatePaymentsButton,S0_type_memberUserName,S5_select_schedulingTypeSelect_index_2,S5_select_schedulingTypeSelect_index_3,S1_wait_input
validPaymentCountBetween17and36,invalidAmountRight,IMMEDIATELY,IMMEDIATELY,action,test1,SINGLE_FUTURE,MULTIPLE_FUTURE,action
validPaymentCountBetween17and36,validAcceptableAmount,IMMEDIATELY,IMMEDIATELY,action,test1,SINGLE_FUTURE,MULTIPLE_FUTURE,action
validPaymentCountBetween17and36,invalidAmountLeft,IMMEDIATELY,IMMEDIATELY,action,test1,SINGLE_FUTURE,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,invalidAmountRight,IMMEDIATELY,IMMEDIATELY,action,test1,SINGLE_FUTURE,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,validAcceptableAmount,IMMEDIATELY,IMMEDIATELY,action,test1,SINGLE_FUTURE,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,invalidAmountLeft,IMMEDIATELY,IMMEDIATELY,action,test1,SINGLE_FUTURE,MULTIPLE_FUTURE,action
invalidPaymentCountLef,invalidAmountRight,IMMEDIATELY,IMMEDIATELY,action,test1,SINGLE_FUTURE,MULTIPLE_FUTURE,action
invalidPaymentCountLef,validAcceptableAmount,IMMEDIATELY,IMMEDIATELY,action,test1,SINGLE_FUTURE,MULTIPLE_FUTURE,action
invalidPaymentCountLef,invalidAmountLeft,IMMEDIATELY,IMMEDIATELY,action,test1,SINGLE_FUTURE,MULTIPLE_FUTURE,action
invalidPaymentCountRight,invalidAmountRight,IMMEDIATELY,IMMEDIATELY,action,test1,SINGLE_FUTURE,MULTIPLE_FUTURE,action
invalidPaymentCountRight,validAcceptableAmount,IMMEDIATELY,IMMEDIATELY,action,test1,SINGLE_FUTURE,MULTIPLE_FUTURE,action
invalidPaymentCountRight,invalidAmountLeft,IMMEDIATELY,IMMEDIATELY,action,test1,SINGLE_FUTURE,MULTIPLE_FUTURE,action
