[coverage strength]
6
""
S7_type_paymentCount,S2_type_amount,S3_select_schedulingTypeSelect_index_1,S7_select_schedulingTypeSelect_index_2,S10_click_calculatePaymentsButton,S0_type_memberUserName,S6_select_schedulingTypeSelect_index_3,S7_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_3,S1_wait_input
validPaymentCountBetween17and36,invalidAmountRight,IMMEDIATELY,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action
validPaymentCountBetween17and36,validAcceptableAmount,IMMEDIATELY,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action
validPaymentCountBetween17and36,invalidAmountLeft,IMMEDIATELY,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,invalidAmountRight,IMMEDIATELY,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,validAcceptableAmount,IMMEDIATELY,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,invalidAmountLeft,IMMEDIATELY,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action
invalidPaymentCountLef,invalidAmountRight,IMMEDIATELY,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action
invalidPaymentCountLef,validAcceptableAmount,IMMEDIATELY,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action
invalidPaymentCountLef,invalidAmountLeft,IMMEDIATELY,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action
invalidPaymentCountRight,invalidAmountRight,IMMEDIATELY,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action
invalidPaymentCountRight,validAcceptableAmount,IMMEDIATELY,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action
invalidPaymentCountRight,invalidAmountLeft,IMMEDIATELY,SINGLE_FUTURE,action,test1,MULTIPLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action
