[coverage strength]
6
""
S7_type_paymentCount,S2_type_amount,S5_select_schedulingTypeSelect_index_2,S5_select_schedulingTypeSelect_index_3,S3_select_schedulingTypeSelect_index_2,S0_type_memberUserName,S6_select_schedulingTypeSelect_index_3,S7_select_schedulingTypeSelect_index_1,S6_select_schedulingTypeSelect_index_1,S1_wait_input
validPaymentCountBetween17and36,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,SINGLE_FUTURE,test1,MULTIPLE_FUTURE,IMMEDIATELY,IMMEDIATELY,action
validPaymentCountBetween17and36,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,SINGLE_FUTURE,test1,MULTIPLE_FUTURE,IMMEDIATELY,IMMEDIATELY,action
validPaymentCountBetween17and36,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,SINGLE_FUTURE,test1,MULTIPLE_FUTURE,IMMEDIATELY,IMMEDIATELY,action
validPaymentCountBetween1and6,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,SINGLE_FUTURE,test1,MULTIPLE_FUTURE,IMMEDIATELY,IMMEDIATELY,action
validPaymentCountBetween1and6,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,SINGLE_FUTURE,test1,MULTIPLE_FUTURE,IMMEDIATELY,IMMEDIATELY,action
validPaymentCountBetween1and6,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,SINGLE_FUTURE,test1,MULTIPLE_FUTURE,IMMEDIATELY,IMMEDIATELY,action
invalidPaymentCountLef,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,SINGLE_FUTURE,test1,MULTIPLE_FUTURE,IMMEDIATELY,IMMEDIATELY,action
invalidPaymentCountLef,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,SINGLE_FUTURE,test1,MULTIPLE_FUTURE,IMMEDIATELY,IMMEDIATELY,action
invalidPaymentCountLef,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,SINGLE_FUTURE,test1,MULTIPLE_FUTURE,IMMEDIATELY,IMMEDIATELY,action
invalidPaymentCountRight,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,SINGLE_FUTURE,test1,MULTIPLE_FUTURE,IMMEDIATELY,IMMEDIATELY,action
invalidPaymentCountRight,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,SINGLE_FUTURE,test1,MULTIPLE_FUTURE,IMMEDIATELY,IMMEDIATELY,action
invalidPaymentCountRight,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,SINGLE_FUTURE,test1,MULTIPLE_FUTURE,IMMEDIATELY,IMMEDIATELY,action
