[coverage strength]
2
""
S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S6_select_schedulingTypeSelect_index_3,S7_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_2,S3_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_3,S7_select_schedulingTypeSelect_index_2,S1_wait_input,S11_submit_submitButton,S0_type_memberUserName
validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,IMMEDIATELY,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,action,test1
validPaymentCountBetween17and36,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,action,test1
validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,IMMEDIATELY,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,IMMEDIATELY,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,IMMEDIATELY,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,action,test1
invalidPaymentCountLef,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,IMMEDIATELY,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,action,test1
invalidPaymentCountLef,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,IMMEDIATELY,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,action,test1
invalidPaymentCountLef,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,action,test1
invalidPaymentCountRight,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,IMMEDIATELY,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,action,test1
invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,IMMEDIATELY,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,action,test1
invalidPaymentCountRight,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,IMMEDIATELY,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,SINGLE_FUTURE,action,action,test1
