[coverage strength]
4
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S7_select_schedulingTypeSelect_index_1,S13_submit_submitButton,S12_select_recurrenceFieldSelect,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_3,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,IMMEDIATELY,action,DAYS,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,IMMEDIATELY,action,WEEKS,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,IMMEDIATELY,action,MONTHS,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,IMMEDIATELY,action,MONTHS,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,IMMEDIATELY,action,WEEKS,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,IMMEDIATELY,action,MONTHS,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,IMMEDIATELY,action,DAYS,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,IMMEDIATELY,action,DAYS,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,IMMEDIATELY,action,MONTHS,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,IMMEDIATELY,action,DAYS,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountLef,IMMEDIATELY,action,WEEKS,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberLef,invalidPaymentCountRight,IMMEDIATELY,action,WEEKS,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,IMMEDIATELY,action,MONTHS,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,IMMEDIATELY,action,DAYS,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
