[coverage strength]
4
""
S7_type_paymentCount,S12_select_recurrenceFieldSelect,S7_select_schedulingTypeSelect_index_1,S14_submit_submitButton,S11_type_recurrenceNumberText,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_3,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName,S13_click_calculatePaymentsButton
validPaymentCountBetween17and36,DAYS,IMMEDIATELY,action,invalidRecurrenceNumberRight,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
validPaymentCountBetween17and36,WEEKS,IMMEDIATELY,action,validRecurrenceNumberBetween7and30,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
validPaymentCountBetween17and36,MONTHS,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
validPaymentCountBetween1and6,DAYS,IMMEDIATELY,action,invalidRecurrenceNumberLef,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
validPaymentCountBetween1and6,WEEKS,IMMEDIATELY,action,invalidRecurrenceNumberRight,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
validPaymentCountBetween1and6,MONTHS,IMMEDIATELY,action,validRecurrenceNumberBetween7and30,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
invalidPaymentCountLef,DAYS,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
invalidPaymentCountLef,WEEKS,IMMEDIATELY,action,invalidRecurrenceNumberLef,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
invalidPaymentCountLef,MONTHS,IMMEDIATELY,action,invalidRecurrenceNumberRight,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
invalidPaymentCountRight,DAYS,IMMEDIATELY,action,validRecurrenceNumberBetween7and30,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
invalidPaymentCountRight,WEEKS,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
invalidPaymentCountRight,MONTHS,IMMEDIATELY,action,invalidRecurrenceNumberLef,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
validPaymentCountBetween1and6,DAYS,IMMEDIATELY,action,validRecurrenceNumberBetween1and7,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
validPaymentCountBetween17and36,DAYS,IMMEDIATELY,action,invalidRecurrenceNumberLef,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,action
