[coverage strength]
4
""
S7_type_paymentCount,S12_select_recurrenceFieldSelect,S5_select_schedulingTypeSelect_index_2,S8c3_submit_submitButton,S11_type_recurrenceNumberText,S2_type_amount,S10_type_firstPaymentDate,S1_wait_input,S3_select_schedulingTypeSelect_index_1,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S0_type_memberUserName,S14_type_description,S13_click_calculatePaymentsButton
validPaymentCountBetween17and36,DAYS,SINGLE_FUTURE,action,validRecurrenceNumberBetween1and7,validAcceptableAmount,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString,action
validPaymentCountBetween17and36,WEEKS,SINGLE_FUTURE,action,invalidRecurrenceNumberLef,invalidAmountLeft,02/02/2012,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString,action
validPaymentCountBetween17and36,MONTHS,SINGLE_FUTURE,action,invalidRecurrenceNumberRight,invalidAmountRight,invalidPaymentPastDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString,action
validPaymentCountBetween1and6,DAYS,SINGLE_FUTURE,action,validRecurrenceNumberBetween7and30,invalidAmountLeft,invalidPaymentPastDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString,action
validPaymentCountBetween1and6,WEEKS,SINGLE_FUTURE,action,validRecurrenceNumberBetween1and7,invalidAmountRight,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString,action
validPaymentCountBetween1and6,MONTHS,SINGLE_FUTURE,action,invalidRecurrenceNumberLef,validAcceptableAmount,02/02/2012,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString,action
invalidPaymentCountLef,DAYS,SINGLE_FUTURE,action,invalidRecurrenceNumberRight,invalidAmountRight,02/02/2012,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString,action
invalidPaymentCountLef,WEEKS,SINGLE_FUTURE,action,validRecurrenceNumberBetween7and30,validAcceptableAmount,invalidPaymentPastDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString,action
invalidPaymentCountLef,MONTHS,SINGLE_FUTURE,action,validRecurrenceNumberBetween1and7,invalidAmountLeft,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString,action
invalidPaymentCountRight,DAYS,SINGLE_FUTURE,action,invalidRecurrenceNumberLef,invalidAmountRight,02/02/2012,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString,action
invalidPaymentCountRight,WEEKS,SINGLE_FUTURE,action,invalidRecurrenceNumberRight,invalidAmountLeft,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString,action
invalidPaymentCountRight,MONTHS,SINGLE_FUTURE,action,validRecurrenceNumberBetween7and30,invalidAmountRight,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString,action
validPaymentCountBetween17and36,DAYS,SINGLE_FUTURE,action,invalidRecurrenceNumberRight,validAcceptableAmount,invalidPaymentPastDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString,action
