[coverage strength]
5
""
S7_type_paymentCount,S2_type_amount,S10_click_calculatePaymentsButton,S8c3_submit_submitButton,S6_select_schedulingTypeSelect_index_1,S3_select_schedulingTypeSelect_index_2,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName,S14_type_description
validPaymentCountBetween17and36,invalidAmountRight,action,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
validPaymentCountBetween17and36,validAcceptableAmount,action,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
validPaymentCountBetween17and36,invalidAmountLeft,action,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
validPaymentCountBetween1and6,invalidAmountRight,action,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
validPaymentCountBetween1and6,validAcceptableAmount,action,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
validPaymentCountBetween1and6,invalidAmountLeft,action,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidPaymentCountLef,invalidAmountRight,action,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidPaymentCountLef,validAcceptableAmount,action,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidPaymentCountLef,invalidAmountLeft,action,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidPaymentCountRight,invalidAmountRight,action,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidPaymentCountRight,validAcceptableAmount,action,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
invalidPaymentCountRight,invalidAmountLeft,action,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1,anyString
