[coverage strength]
5
""
S7_type_paymentCount,S10_type_firstPaymentDate,S5_select_schedulingTypeSelect_index_2,S8c3_submit_submitButton,S11_click_calculatePaymentsButton,S2_type_amount,S1_wait_input,S3_select_schedulingTypeSelect_index_1,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S0_type_memberUserName,S14_type_description
validPaymentCountBetween17and36,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,validAcceptableAmount,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
validPaymentCountBetween17and36,02/02/2012,SINGLE_FUTURE,action,action,invalidAmountLeft,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
validPaymentCountBetween17and36,invalidPaymentPastDate,SINGLE_FUTURE,action,action,invalidAmountRight,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
validPaymentCountBetween1and6,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,invalidAmountLeft,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
validPaymentCountBetween1and6,02/02/2012,SINGLE_FUTURE,action,action,invalidAmountRight,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
validPaymentCountBetween1and6,invalidPaymentPastDate,SINGLE_FUTURE,action,action,validAcceptableAmount,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
invalidPaymentCountLef,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,invalidAmountRight,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
invalidPaymentCountLef,02/02/2012,SINGLE_FUTURE,action,action,validAcceptableAmount,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
invalidPaymentCountLef,invalidPaymentPastDate,SINGLE_FUTURE,action,action,invalidAmountLeft,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
invalidPaymentCountRight,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,invalidAmountRight,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
invalidPaymentCountRight,02/02/2012,SINGLE_FUTURE,action,action,validAcceptableAmount,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
invalidPaymentCountRight,invalidPaymentPastDate,SINGLE_FUTURE,action,action,invalidAmountLeft,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
validPaymentCountBetween1and6,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,invalidAmountRight,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
