[coverage strength]
5
""
S7_type_paymentCount,S5_select_schedulingTypeSelect_index_3,S3_select_schedulingTypeSelect_index_1,S12_click_calculatePaymentsButton,S8c3_submit_submitButton,S11_type_recurrenceNumberText,S2_type_amount,S10_type_firstPaymentDate,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName,S14_type_description
validPaymentCountBetween17and36,MULTIPLE_FUTURE,IMMEDIATELY,action,action,validRecurrenceNumberBetween7and30,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1,anyString
validPaymentCountBetween1and6,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidRecurrenceNumberRight,invalidAmountRight,02/02/2012,action,action,test1,anyString
invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidRecurrenceNumberLef,validAcceptableAmount,invalidPaymentPastDate,action,action,test1,anyString
invalidPaymentCountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,action,validRecurrenceNumberBetween1and7,invalidAmountRight,02/02/2012,action,action,test1,anyString
validPaymentCountBetween17and36,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidRecurrenceNumberLef,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1,anyString
validPaymentCountBetween17and36,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidRecurrenceNumberLef,invalidAmountRight,02/02/2012,action,action,test1,anyString
validPaymentCountBetween1and6,MULTIPLE_FUTURE,IMMEDIATELY,action,action,validRecurrenceNumberBetween7and30,invalidAmountRight,invalidPaymentPastDate,action,action,test1,anyString
invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidRecurrenceNumberRight,validAcceptableAmount,invalidPaymentPastDate,action,action,test1,anyString
invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,action,validRecurrenceNumberBetween7and30,invalidAmountLeft,invalidPaymentFutureDate,action,action,test1,anyString
validPaymentCountBetween1and6,MULTIPLE_FUTURE,IMMEDIATELY,action,action,validRecurrenceNumberBetween7and30,invalidAmountLeft,02/02/2012,action,action,test1,anyString
invalidPaymentCountLef,MULTIPLE_FUTURE,IMMEDIATELY,action,action,validRecurrenceNumberBetween7and30,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,anyString
invalidPaymentCountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,action,validRecurrenceNumberBetween7and30,invalidAmountRight,invalidPaymentFutureDate,action,action,test1,anyString
invalidPaymentCountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,action,validRecurrenceNumberBetween1and7,invalidAmountLeft,02/02/2012,action,action,test1,anyString
invalidPaymentCountRight,MULTIPLE_FUTURE,IMMEDIATELY,action,action,validRecurrenceNumberBetween1and7,invalidAmountRight,invalidPaymentPastDate,action,action,test1,anyString
validPaymentCountBetween17and36,MULTIPLE_FUTURE,IMMEDIATELY,action,action,invalidRecurrenceNumberLef,validAcceptableAmount,invalidPaymentPastDate,action,action,test1,anyString
validPaymentCountBetween1and6,MULTIPLE_FUTURE,IMMEDIATELY,action,action,validRecurrenceNumberBetween1and7,validAcceptableAmount,invalidPaymentFutureDate,action,action,test1,anyString
