[coverage strength]
5
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S12_click_calculatePaymentsButton,S8c3_submit_submitButton,S7_select_schedulingTypeSelect_index_2,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_3,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S0_type_memberUserName,S14_type_description
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,action,action,SINGLE_FUTURE,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,action,action,SINGLE_FUTURE,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,action,action,SINGLE_FUTURE,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,action,action,SINGLE_FUTURE,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,action,action,SINGLE_FUTURE,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,action,action,SINGLE_FUTURE,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,action,action,SINGLE_FUTURE,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,action,action,SINGLE_FUTURE,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,action,action,SINGLE_FUTURE,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,action,action,SINGLE_FUTURE,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString
invalidRecurrenceNumberLef,invalidPaymentCountLef,action,action,SINGLE_FUTURE,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString
invalidRecurrenceNumberLef,invalidPaymentCountRight,action,action,SINGLE_FUTURE,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,action,action,SINGLE_FUTURE,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,action,action,SINGLE_FUTURE,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString
invalidRecurrenceNumberRight,invalidPaymentCountLef,action,action,SINGLE_FUTURE,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString
invalidRecurrenceNumberRight,invalidPaymentCountRight,action,action,SINGLE_FUTURE,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,action,action,SINGLE_FUTURE,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,action,action,SINGLE_FUTURE,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,action,action,SINGLE_FUTURE,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString
invalidRecurrenceNumberRight,invalidPaymentCountRight,action,action,SINGLE_FUTURE,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString
