[coverage strength]
5
""
S7_type_paymentCount,S2_type_amount,S5_select_schedulingTypeSelect_index_2,S0_type_memberUserName,S10_submit_submitButton,S1_wait_input,S3_select_schedulingTypeSelect_index_1,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton
validPaymentCountBetween17and36,invalidAmountRight,SINGLE_FUTURE,test1,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action
validPaymentCountBetween17and36,validAcceptableAmount,SINGLE_FUTURE,test1,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action
validPaymentCountBetween17and36,invalidAmountLeft,SINGLE_FUTURE,test1,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,invalidAmountRight,SINGLE_FUTURE,test1,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,validAcceptableAmount,SINGLE_FUTURE,test1,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,invalidAmountLeft,SINGLE_FUTURE,test1,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action
invalidPaymentCountLef,invalidAmountRight,SINGLE_FUTURE,test1,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action
invalidPaymentCountLef,validAcceptableAmount,SINGLE_FUTURE,test1,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action
invalidPaymentCountLef,invalidAmountLeft,SINGLE_FUTURE,test1,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action
invalidPaymentCountRight,invalidAmountRight,SINGLE_FUTURE,test1,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action
invalidPaymentCountRight,validAcceptableAmount,SINGLE_FUTURE,test1,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action
invalidPaymentCountRight,invalidAmountLeft,SINGLE_FUTURE,test1,action,action,IMMEDIATELY,MULTIPLE_FUTURE,action
