[coverage strength]
6
""
S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S7_select_schedulingTypeSelect_index_1,S14_submit_submitButton,S11_click_calculatePaymentsButton,S3_select_schedulingTypeSelect_index_3,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName
validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentPastDate,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentFutureDate,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentPastDate,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentFutureDate,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween17and36,invalidAmountLeft,02/02/2012,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,invalidAmountRight,02/02/2012,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentPastDate,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentPastDate,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,invalidAmountLeft,02/02/2012,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountLef,invalidAmountRight,invalidPaymentFutureDate,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountLef,invalidAmountRight,02/02/2012,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountLef,invalidAmountRight,invalidPaymentPastDate,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountLef,validAcceptableAmount,invalidPaymentPastDate,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountLef,invalidAmountLeft,invalidPaymentFutureDate,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountLef,invalidAmountLeft,02/02/2012,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountLef,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,invalidAmountRight,invalidPaymentFutureDate,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,invalidAmountRight,02/02/2012,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,invalidAmountRight,invalidPaymentPastDate,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,validAcceptableAmount,invalidPaymentPastDate,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,invalidAmountLeft,invalidPaymentFutureDate,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,invalidAmountLeft,02/02/2012,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,action,action,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
