[coverage strength]
6
""
S7_type_paymentCount,S2_type_amount,S3_select_schedulingTypeSelect_index_3,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S10_click_calculatePaymentsButton,S18_click_cssInputButton,S0_type_memberUserName,S14_type_description,S8c3_submit_submitButton,S7_select_schedulingTypeSelect_index_2
validPaymentCountBetween17and36,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,anyString,action,SINGLE_FUTURE
validPaymentCountBetween17and36,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,anyString,action,SINGLE_FUTURE
validPaymentCountBetween17and36,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,anyString,action,SINGLE_FUTURE
validPaymentCountBetween1and6,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,anyString,action,SINGLE_FUTURE
validPaymentCountBetween1and6,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,anyString,action,SINGLE_FUTURE
validPaymentCountBetween1and6,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,anyString,action,SINGLE_FUTURE
invalidPaymentCountLef,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,anyString,action,SINGLE_FUTURE
invalidPaymentCountLef,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,anyString,action,SINGLE_FUTURE
invalidPaymentCountLef,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,anyString,action,SINGLE_FUTURE
invalidPaymentCountRight,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,anyString,action,SINGLE_FUTURE
invalidPaymentCountRight,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,anyString,action,SINGLE_FUTURE
invalidPaymentCountRight,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,anyString,action,SINGLE_FUTURE
