[coverage strength]
2
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S12_select_recurrenceFieldSelect,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_2,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S0_type_memberUserName,S14_type_description,S8c3_submit_submitButton,S13_click_calculatePaymentsButton
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,DAYS,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,WEEKS,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,MONTHS,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,DAYS,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,WEEKS,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,MONTHS,invalidAmountRight,02/02/2012,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,DAYS,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,WEEKS,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,MONTHS,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,DAYS,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,WEEKS,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,MONTHS,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,DAYS,invalidAmountRight,02/02/2012,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,WEEKS,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,MONTHS,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,DAYS,invalidAmountRight,02/02/2012,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,DAYS,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,DAYS,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,DAYS,invalidAmountRight,02/02/2012,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action,action
