[coverage strength]
4
""
S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_3,S1_wait_input,S11_submit_submitButton,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S0_type_memberUserName,S7_select_schedulingTypeSelect_index_2
validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1,SINGLE_FUTURE
validPaymentCountBetween17and36,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1,SINGLE_FUTURE
validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1,SINGLE_FUTURE
validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1,SINGLE_FUTURE
validPaymentCountBetween17and36,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1,SINGLE_FUTURE
validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1,SINGLE_FUTURE
validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1,SINGLE_FUTURE
validPaymentCountBetween17and36,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1,SINGLE_FUTURE
validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1,SINGLE_FUTURE
validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1,SINGLE_FUTURE
validPaymentCountBetween1and6,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1,SINGLE_FUTURE
validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1,SINGLE_FUTURE
validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1,SINGLE_FUTURE
validPaymentCountBetween1and6,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1,SINGLE_FUTURE
validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1,SINGLE_FUTURE
validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1,SINGLE_FUTURE
validPaymentCountBetween1and6,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1,SINGLE_FUTURE
validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1,SINGLE_FUTURE
invalidPaymentCountLef,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1,SINGLE_FUTURE
invalidPaymentCountLef,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1,SINGLE_FUTURE
invalidPaymentCountLef,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1,SINGLE_FUTURE
invalidPaymentCountLef,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1,SINGLE_FUTURE
invalidPaymentCountLef,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1,SINGLE_FUTURE
invalidPaymentCountLef,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1,SINGLE_FUTURE
invalidPaymentCountLef,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1,SINGLE_FUTURE
invalidPaymentCountLef,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1,SINGLE_FUTURE
invalidPaymentCountLef,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1,SINGLE_FUTURE
invalidPaymentCountRight,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1,SINGLE_FUTURE
invalidPaymentCountRight,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1,SINGLE_FUTURE
invalidPaymentCountRight,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,action,MULTIPLE_FUTURE,action,test1,SINGLE_FUTURE
