[coverage strength]
3
""
S7_type_paymentCount,S7_select_schedulingTypeSelect_index_2,S13_submit_submitButton,S11_type_recurrenceNumberText,S12_select_recurrenceFieldSelect,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_3,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S0_type_memberUserName
validPaymentCountBetween17and36,SINGLE_FUTURE,action,invalidRecurrenceNumberRight,DAYS,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,SINGLE_FUTURE,action,validRecurrenceNumberBetween7and30,WEEKS,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,SINGLE_FUTURE,action,validRecurrenceNumberBetween1and7,MONTHS,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,SINGLE_FUTURE,action,invalidRecurrenceNumberLef,WEEKS,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,SINGLE_FUTURE,action,invalidRecurrenceNumberLef,MONTHS,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,SINGLE_FUTURE,action,validRecurrenceNumberBetween1and7,WEEKS,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,SINGLE_FUTURE,action,invalidRecurrenceNumberRight,MONTHS,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,SINGLE_FUTURE,action,validRecurrenceNumberBetween7and30,DAYS,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,SINGLE_FUTURE,action,validRecurrenceNumberBetween1and7,DAYS,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,SINGLE_FUTURE,action,validRecurrenceNumberBetween7and30,MONTHS,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1
