[coverage strength]
4
""
S7_type_paymentCount,S12_select_recurrenceFieldSelect,S8c3_submit_submitButton,S7_select_schedulingTypeSelect_index_2,S11_type_recurrenceNumberText,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_3,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S0_type_memberUserName,S14_type_description,S13_click_calculatePaymentsButton
validPaymentCountBetween17and36,DAYS,action,SINGLE_FUTURE,invalidRecurrenceNumberRight,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
validPaymentCountBetween17and36,WEEKS,action,SINGLE_FUTURE,validRecurrenceNumberBetween7and30,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
validPaymentCountBetween17and36,MONTHS,action,SINGLE_FUTURE,validRecurrenceNumberBetween1and7,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
validPaymentCountBetween1and6,DAYS,action,SINGLE_FUTURE,invalidRecurrenceNumberLef,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
validPaymentCountBetween1and6,WEEKS,action,SINGLE_FUTURE,invalidRecurrenceNumberRight,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
validPaymentCountBetween1and6,MONTHS,action,SINGLE_FUTURE,validRecurrenceNumberBetween7and30,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidPaymentCountLef,DAYS,action,SINGLE_FUTURE,validRecurrenceNumberBetween1and7,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidPaymentCountLef,WEEKS,action,SINGLE_FUTURE,invalidRecurrenceNumberLef,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidPaymentCountLef,MONTHS,action,SINGLE_FUTURE,invalidRecurrenceNumberRight,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidPaymentCountRight,DAYS,action,SINGLE_FUTURE,validRecurrenceNumberBetween7and30,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidPaymentCountRight,WEEKS,action,SINGLE_FUTURE,validRecurrenceNumberBetween1and7,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
invalidPaymentCountRight,MONTHS,action,SINGLE_FUTURE,invalidRecurrenceNumberLef,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
validPaymentCountBetween1and6,MONTHS,action,SINGLE_FUTURE,validRecurrenceNumberBetween1and7,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
validPaymentCountBetween17and36,MONTHS,action,SINGLE_FUTURE,invalidRecurrenceNumberRight,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,anyString,action
