[coverage strength]
6
""
S7_type_paymentCount,S2_type_amount,S10_click_calculatePaymentsButton,S14_submit_submitButton,S0_type_memberUserName,S6_select_schedulingTypeSelect_index_1,S3_select_schedulingTypeSelect_index_2,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton
validPaymentCountBetween17and36,invalidAmountRight,action,action,test1,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action
validPaymentCountBetween17and36,validAcceptableAmount,action,action,test1,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action
validPaymentCountBetween17and36,invalidAmountLeft,action,action,test1,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action
validPaymentCountBetween1and6,invalidAmountRight,action,action,test1,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action
validPaymentCountBetween1and6,validAcceptableAmount,action,action,test1,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action
validPaymentCountBetween1and6,invalidAmountLeft,action,action,test1,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action
invalidPaymentCountLef,invalidAmountRight,action,action,test1,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action
invalidPaymentCountLef,validAcceptableAmount,action,action,test1,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action
invalidPaymentCountLef,invalidAmountLeft,action,action,test1,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action
invalidPaymentCountRight,invalidAmountRight,action,action,test1,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action
invalidPaymentCountRight,validAcceptableAmount,action,action,test1,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action
invalidPaymentCountRight,invalidAmountLeft,action,action,test1,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action
