[coverage strength]
6
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S10_type_firstPaymentDate,S5_select_schedulingTypeSelect_index_2,S12_click_calculatePaymentsButton,S8c3_submit_submitButton,S2_type_amount,S1_wait_input,S3_select_schedulingTypeSelect_index_1,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S0_type_memberUserName,S14_type_description
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,invalidAmountRight,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,02/02/2012,SINGLE_FUTURE,action,action,validAcceptableAmount,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidPaymentPastDate,SINGLE_FUTURE,action,action,invalidAmountLeft,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,validAcceptableAmount,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,02/02/2012,SINGLE_FUTURE,action,action,invalidAmountLeft,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidPaymentPastDate,SINGLE_FUTURE,action,action,invalidAmountRight,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,invalidAmountLeft,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,02/02/2012,SINGLE_FUTURE,action,action,invalidAmountRight,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidPaymentPastDate,SINGLE_FUTURE,action,action,validAcceptableAmount,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,invalidAmountRight,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
