[coverage strength]
6
""
S7_type_paymentCount,S2_type_amount,S3_select_schedulingTypeSelect_index_2,S6_select_schedulingTypeSelect_index_3,S0_type_memberUserName,S10_submit_submitButton,S1_wait_input,S18_click_cssInputButton
validPaymentCountBetween17and36,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,test1,action,action,action
validPaymentCountBetween17and36,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,test1,action,action,action
validPaymentCountBetween17and36,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,test1,action,action,action
validPaymentCountBetween1and6,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,test1,action,action,action
validPaymentCountBetween1and6,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,test1,action,action,action
validPaymentCountBetween1and6,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,test1,action,action,action
invalidPaymentCountLef,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,test1,action,action,action
invalidPaymentCountLef,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,test1,action,action,action
invalidPaymentCountLef,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,test1,action,action,action
invalidPaymentCountRight,invalidAmountRight,SINGLE_FUTURE,MULTIPLE_FUTURE,test1,action,action,action
invalidPaymentCountRight,validAcceptableAmount,SINGLE_FUTURE,MULTIPLE_FUTURE,test1,action,action,action
invalidPaymentCountRight,invalidAmountLeft,SINGLE_FUTURE,MULTIPLE_FUTURE,test1,action,action,action
