[coverage strength]
6
""
S7_type_paymentCount,S2_type_amount,S18_click_cssInputButton,S0_type_memberUserName,S6_select_schedulingTypeSelect_index_1,S10_submit_submitButton,S3_select_schedulingTypeSelect_index_2,S5_select_schedulingTypeSelect_index_3,S1_wait_input
validPaymentCountBetween17and36,invalidAmountRight,action,test1,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action
validPaymentCountBetween17and36,validAcceptableAmount,action,test1,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action
validPaymentCountBetween17and36,invalidAmountLeft,action,test1,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,invalidAmountRight,action,test1,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,validAcceptableAmount,action,test1,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,invalidAmountLeft,action,test1,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action
invalidPaymentCountLef,invalidAmountRight,action,test1,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action
invalidPaymentCountLef,invalidAmountLeft,action,test1,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action
invalidPaymentCountRight,invalidAmountRight,action,test1,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action
invalidPaymentCountRight,validAcceptableAmount,action,test1,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action
invalidPaymentCountRight,invalidAmountLeft,action,test1,IMMEDIATELY,action,SINGLE_FUTURE,MULTIPLE_FUTURE,action
