[coverage strength]
4
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_2,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S0_type_memberUserName,S12_submit_submitButton,S6_select_schedulingTypeSelect_index_1
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action,IMMEDIATELY
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action,IMMEDIATELY
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action,IMMEDIATELY
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action,IMMEDIATELY
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action,IMMEDIATELY
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action,IMMEDIATELY
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action,IMMEDIATELY
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action,IMMEDIATELY
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action,IMMEDIATELY
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action,IMMEDIATELY
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action,IMMEDIATELY
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action,IMMEDIATELY
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action,IMMEDIATELY
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action,IMMEDIATELY
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action,IMMEDIATELY
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action,IMMEDIATELY
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action,IMMEDIATELY
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action,IMMEDIATELY
invalidRecurrenceNumberLef,invalidPaymentCountRight,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action,IMMEDIATELY
invalidRecurrenceNumberLef,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action,IMMEDIATELY
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action,IMMEDIATELY
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action,IMMEDIATELY
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action,IMMEDIATELY
invalidRecurrenceNumberRight,invalidPaymentCountLef,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action,IMMEDIATELY
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action,IMMEDIATELY
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidAmountRight,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action,IMMEDIATELY
invalidRecurrenceNumberRight,invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action,IMMEDIATELY
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1,action,IMMEDIATELY
