[coverage strength]
6
""
S7_type_paymentCount,S2_type_amount,S3_select_schedulingTypeSelect_index_3,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S0_type_memberUserName,S7_select_schedulingTypeSelect_index_2,S10_submit_submitButton
validPaymentCountBetween17and36,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,SINGLE_FUTURE,action
validPaymentCountBetween17and36,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,SINGLE_FUTURE,action
validPaymentCountBetween17and36,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,SINGLE_FUTURE,action
validPaymentCountBetween1and6,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,SINGLE_FUTURE,action
validPaymentCountBetween1and6,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,SINGLE_FUTURE,action
validPaymentCountBetween1and6,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,SINGLE_FUTURE,action
invalidPaymentCountLef,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,SINGLE_FUTURE,action
invalidPaymentCountLef,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,SINGLE_FUTURE,action
invalidPaymentCountLef,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,SINGLE_FUTURE,action
invalidPaymentCountRight,invalidAmountRight,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,SINGLE_FUTURE,action
invalidPaymentCountRight,validAcceptableAmount,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,SINGLE_FUTURE,action
invalidPaymentCountRight,invalidAmountLeft,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action,test1,SINGLE_FUTURE,action
