[coverage strength]
4
""
S7_type_paymentCount,S14_submit_submitButton,S12_click_calculatePaymentsButton,S6_select_schedulingTypeSelect_index_1,S11_type_recurrenceNumberText,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_2,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton,S0_type_memberUserName
validPaymentCountBetween17and36,action,action,IMMEDIATELY,validRecurrenceNumberBetween7and30,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,action,action,IMMEDIATELY,invalidRecurrenceNumberRight,invalidAmountRight,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountLef,action,action,IMMEDIATELY,invalidRecurrenceNumberLef,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,action,action,IMMEDIATELY,validRecurrenceNumberBetween1and7,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween17and36,action,action,IMMEDIATELY,invalidRecurrenceNumberLef,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountLef,action,action,IMMEDIATELY,invalidRecurrenceNumberRight,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,action,action,IMMEDIATELY,validRecurrenceNumberBetween7and30,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountLef,action,action,IMMEDIATELY,validRecurrenceNumberBetween7and30,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,action,action,IMMEDIATELY,invalidRecurrenceNumberRight,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween17and36,action,action,IMMEDIATELY,validRecurrenceNumberBetween1and7,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
validPaymentCountBetween1and6,action,action,IMMEDIATELY,validRecurrenceNumberBetween1and7,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
invalidPaymentCountRight,action,action,IMMEDIATELY,invalidRecurrenceNumberLef,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,MULTIPLE_FUTURE,action,action,test1
