[coverage strength]
5
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S5_select_schedulingTypeSelect_index_2,S12_click_calculatePaymentsButton,S8c3_submit_submitButton,S2_type_amount,S10_type_firstPaymentDate,S1_wait_input,S3_select_schedulingTypeSelect_index_1,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S0_type_memberUserName,S14_type_description
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,SINGLE_FUTURE,action,action,validAcceptableAmount,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,SINGLE_FUTURE,action,action,invalidAmountLeft,02/02/2012,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,SINGLE_FUTURE,action,action,invalidAmountRight,invalidPaymentPastDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,SINGLE_FUTURE,action,action,validAcceptableAmount,02/02/2012,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,SINGLE_FUTURE,action,action,invalidAmountLeft,invalidPaymentPastDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,SINGLE_FUTURE,action,action,invalidAmountRight,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,SINGLE_FUTURE,action,action,validAcceptableAmount,02/02/2012,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,SINGLE_FUTURE,action,action,invalidAmountRight,02/02/2012,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,SINGLE_FUTURE,action,action,invalidAmountRight,02/02/2012,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,SINGLE_FUTURE,action,action,validAcceptableAmount,invalidPaymentPastDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
invalidRecurrenceNumberLef,invalidPaymentCountLef,SINGLE_FUTURE,action,action,invalidAmountLeft,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
invalidRecurrenceNumberLef,invalidPaymentCountRight,SINGLE_FUTURE,action,action,invalidAmountLeft,invalidPaymentPastDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,SINGLE_FUTURE,action,action,invalidAmountRight,invalidPaymentPastDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,SINGLE_FUTURE,action,action,invalidAmountLeft,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
invalidRecurrenceNumberRight,invalidPaymentCountLef,SINGLE_FUTURE,action,action,validAcceptableAmount,02/02/2012,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
invalidRecurrenceNumberRight,invalidPaymentCountRight,SINGLE_FUTURE,action,action,invalidAmountRight,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,SINGLE_FUTURE,action,action,invalidAmountRight,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,SINGLE_FUTURE,action,action,invalidAmountRight,invalidPaymentPastDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,SINGLE_FUTURE,action,action,invalidAmountRight,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,SINGLE_FUTURE,action,action,validAcceptableAmount,02/02/2012,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
invalidRecurrenceNumberRight,invalidPaymentCountRight,SINGLE_FUTURE,action,action,invalidAmountRight,02/02/2012,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,SINGLE_FUTURE,action,action,invalidAmountRight,02/02/2012,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
invalidRecurrenceNumberLef,invalidPaymentCountLef,SINGLE_FUTURE,action,action,invalidAmountRight,02/02/2012,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,SINGLE_FUTURE,action,action,invalidAmountLeft,02/02/2012,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
invalidRecurrenceNumberRight,invalidPaymentCountRight,SINGLE_FUTURE,action,action,validAcceptableAmount,invalidPaymentPastDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
invalidRecurrenceNumberLef,invalidPaymentCountRight,SINGLE_FUTURE,action,action,invalidAmountRight,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1,anyString
