[coverage strength]
6
""
S7_type_paymentCount,S2_type_amount,S7_select_schedulingTypeSelect_index_1,S10_click_calculatePaymentsButton,S14_submit_submitButton,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton
validPaymentCountBetween17and36,invalidAmountRight,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action
validPaymentCountBetween17and36,validAcceptableAmount,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action
validPaymentCountBetween17and36,invalidAmountLeft,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action
validPaymentCountBetween1and6,invalidAmountRight,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action
validPaymentCountBetween1and6,validAcceptableAmount,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action
validPaymentCountBetween1and6,invalidAmountLeft,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action
invalidPaymentCountLef,invalidAmountRight,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action
invalidPaymentCountLef,validAcceptableAmount,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action
invalidPaymentCountLef,invalidAmountLeft,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action
invalidPaymentCountRight,invalidAmountRight,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action
invalidPaymentCountRight,validAcceptableAmount,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action
invalidPaymentCountRight,invalidAmountLeft,IMMEDIATELY,action,action,test1,MULTIPLE_FUTURE,MULTIPLE_FUTURE,action,action
