[coverage strength]
5
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S12_select_recurrenceFieldSelect,S2_type_amount,S10_type_firstPaymentDate,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S3_select_schedulingTypeSelect_index_1,S18_click_cssInputButton,S0_type_memberUserName,S13_submit_submitButton
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,DAYS,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,DAYS,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,WEEKS,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,WEEKS,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,WEEKS,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,WEEKS,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,MONTHS,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,MONTHS,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,MONTHS,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,DAYS,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,WEEKS,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,WEEKS,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,WEEKS,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,WEEKS,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,DAYS,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,WEEKS,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,WEEKS,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,WEEKS,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,MONTHS,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,MONTHS,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,MONTHS,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,MONTHS,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,DAYS,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,MONTHS,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,MONTHS,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,MONTHS,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,MONTHS,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,WEEKS,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,WEEKS,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,MONTHS,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,MONTHS,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,MONTHS,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,WEEKS,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,WEEKS,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,MONTHS,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,MONTHS,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,MONTHS,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,WEEKS,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,WEEKS,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,MONTHS,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,MONTHS,invalidAmountLeft,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,MONTHS,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,DAYS,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,WEEKS,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,MONTHS,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,MONTHS,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,DAYS,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,DAYS,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,WEEKS,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,WEEKS,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,MONTHS,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,MONTHS,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,DAYS,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,WEEKS,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,WEEKS,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,MONTHS,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,MONTHS,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween1and6,MONTHS,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,DAYS,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,WEEKS,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,WEEKS,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,MONTHS,invalidAmountRight,invalidPaymentPastDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,MONTHS,validAcceptableAmount,invalidPaymentPastDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,MONTHS,invalidAmountLeft,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,DAYS,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,WEEKS,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,MONTHS,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,MONTHS,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,DAYS,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,WEEKS,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,MONTHS,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,MONTHS,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,DAYS,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,WEEKS,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,MONTHS,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,MONTHS,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,MONTHS,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,MONTHS,validAcceptableAmount,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,DAYS,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,WEEKS,invalidAmountLeft,invalidPaymentPastDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,MONTHS,invalidAmountRight,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,MONTHS,invalidAmountRight,02/02/2012,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,MONTHS,validAcceptableAmount,invalidPaymentFutureDate,MULTIPLE_FUTURE,action,IMMEDIATELY,action,test1,action
