[coverage strength]
2
""
S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S1_wait_input,S11_submit_submitButton,S3_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_2,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S0_type_memberUserName
validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,action,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,validAcceptableAmount,02/02/2012,action,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentPastDate,action,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,invalidAmountRight,02/02/2012,action,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentPastDate,action,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,action,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,invalidAmountRight,invalidPaymentPastDate,action,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,validAcceptableAmount,invalidPaymentFutureDate,action,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,invalidAmountLeft,02/02/2012,action,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,invalidAmountRight,invalidPaymentPastDate,action,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,action,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,invalidAmountLeft,02/02/2012,action,action,IMMEDIATELY,SINGLE_FUTURE,MULTIPLE_FUTURE,action,test1
