[coverage strength]
2
""
S11_type_recurrenceNumberText,S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_2,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S14_submit_submitButton,S18_click_cssInputButton,S0_type_memberUserName,S12_click_calculatePaymentsButton
validRecurrenceNumberBetween7and30,validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
validRecurrenceNumberBetween7and30,validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountLef,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
validRecurrenceNumberBetween7and30,invalidPaymentCountRight,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween17and36,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
validRecurrenceNumberBetween1and7,validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountLef,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
validRecurrenceNumberBetween1and7,invalidPaymentCountRight,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberLef,validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountLef,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberLef,invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween1and6,invalidAmountRight,02/02/2012,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountLef,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberRight,invalidPaymentCountRight,invalidAmountRight,02/02/2012,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
invalidRecurrenceNumberRight,validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,action,MULTIPLE_FUTURE,action,action,test1,action
