[coverage strength]
3
""
S7_type_paymentCount,S5_select_schedulingTypeSelect_index_2,S13_submit_submitButton,S11_type_recurrenceNumberText,S12_select_recurrenceFieldSelect,S2_type_amount,S10_type_firstPaymentDate,S1_wait_input,S3_select_schedulingTypeSelect_index_1,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S0_type_memberUserName
validPaymentCountBetween17and36,SINGLE_FUTURE,action,validRecurrenceNumberBetween1and7,MONTHS,invalidAmountLeft,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,SINGLE_FUTURE,action,invalidRecurrenceNumberLef,DAYS,validAcceptableAmount,02/02/2012,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,SINGLE_FUTURE,action,invalidRecurrenceNumberRight,WEEKS,invalidAmountRight,invalidPaymentPastDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,SINGLE_FUTURE,action,validRecurrenceNumberBetween7and30,DAYS,invalidAmountLeft,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,SINGLE_FUTURE,action,validRecurrenceNumberBetween7and30,WEEKS,invalidAmountRight,02/02/2012,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
invalidPaymentCountRight,SINGLE_FUTURE,action,validRecurrenceNumberBetween1and7,WEEKS,invalidAmountRight,invalidPaymentPastDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,SINGLE_FUTURE,action,invalidRecurrenceNumberLef,WEEKS,invalidAmountRight,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween1and6,SINGLE_FUTURE,action,invalidRecurrenceNumberRight,MONTHS,invalidAmountRight,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
invalidPaymentCountLef,SINGLE_FUTURE,action,invalidRecurrenceNumberRight,DAYS,invalidAmountRight,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
validPaymentCountBetween17and36,SINGLE_FUTURE,action,validRecurrenceNumberBetween7and30,MONTHS,invalidAmountRight,invalidPaymentFutureDate,action,IMMEDIATELY,MULTIPLE_FUTURE,action,test1
